variavel,media_ponderada,dp_ponderado,p10,mediana,p90,n_valido
READ,412.8733053129224,96.6057637092501,290.1424,406.7098,545.3764,10691
MATH,383.56911748958737,80.91837891582101,286.8858,374.7898,493.5777,10691
SCIENCE,403.62093246437115,85.09862099068964,299.9236,395.165,522.6519,10691
ESCS,4706.369598683646,2659.2770191321342,1017.0,4717.0,8403.0,10453
DISCLIMA,546.1276460351249,305.882882831727,63.0,621.0,915.0,10099
BELONG,998.8793544543419,424.1999574353384,362.0,1096.0,1524.0,8339
JOYREAD,453.00362319129994,231.6446043576566,118.0,458.0,768.0,9655
SCREADCOMP,37.792383026514415,15.589732103099957,16.0,38.0,58.0,9143
