quartil_escs,READ_medio,MATH_medio,SCIENCE_medio,DISCLIMA_medio,BELONG_medio,SENWT_total
Q1 (mais vulnerável),373.0059784587121,347.72042237863474,366.92583962719556,540.5109033682343,935.3249874440803,1215.80312
Q2,396.3377902198507,365.1185684490293,385.68004744281774,540.7572490774103,989.8908835313663,1193.2266800000002
Q3,417.64654247240475,386.6533851585214,406.10448431599946,539.9654710376461,993.4508411419138,1198.71183
Q4 (mais favorecido),467.6526266354119,436.8186160542679,458.66450419958915,563.5811340124184,1060.6845962770176,1278.29647
